date,symbol,decision
2023-06-01,MARUTI,HOLD
2023-06-08,EICHERMOT,HOLD
2023-06-09,HDFCLIFE,HOLD
2023-06-09,SBIN,HOLD
2023-06-13,TATACONSUM,HOLD
2023-06-16,BAJAJFINSV,REDUCE
2023-06-19,ASIANPAINT,HOLD
2023-06-19,M&M,HOLD
2023-06-20,BAJFINANCE,HOLD
2023-06-26,CIPLA,REDUCE
2023-06-28,ADANIPORTS,REDUCE
2023-06-30,TECHM,HOLD
2023-07-03,RELIANCE,HOLD
2023-07-04,SBILIFE,HOLD
2023-07-10,TATASTEEL,REDUCE
2023-07-11,HINDUNILVR,HOLD
2023-07-11,TATASTEEL,HOLD
2023-07-14,BAJAJFINSV,HOLD
2023-07-14,INFY,REDUCE
2023-07-14,TCS,REDUCE
2023-07-18,WIPRO,REDUCE
2023-08-02,CIPLA,HOLD
2023-08-16,HINDALCO,HOLD
2023-08-17,TCS,HOLD
2023-08-18,ADANIPORTS,HOLD
2023-08-22,ADANIENT,REDUCE
2023-08-29,WIPRO,HOLD
2023-09-18,INFY,HOLD
2023-11-02,JIOFIN,REDUCE
2024-01-31,ADANIENT,HOLD
2024-02-15,AXISBANK,REDUCE
2024-02-20,TITAN,REDUCE
2024-04-01,INFY,REDUCE
2024-04-25,ADANIENT,REDUCE
2024-04-26,AXISBANK,HOLD
2024-05-02,SUNPHARMA,REDUCE
2024-05-22,TITAN,EXIT
2024-05-31,ADANIENT,HOLD
2024-05-31,APOLLOHOSP,REDUCE
2024-06-12,ADANIENT,EXIT
2024-06-14,HINDUNILVR,REDUCE
2024-07-05,ASIANPAINT,EXIT
2024-07-12,HINDUNILVR,HOLD
2024-07-12,INFY,HOLD
2024-07-15,KOTAKBANK,REDUCE
2024-07-26,APOLLOHOSP,HOLD
2024-07-26,AXISBANK,REDUCE
2024-07-29,SUNPHARMA,HOLD
2024-07-31,KOTAKBANK,EXIT
2024-08-05,ASIANPAINT,REDUCE
2024-08-16,HDFCBANK,REDUCE
2024-08-23,ASIANPAINT,HOLD
2024-08-23,EICHERMOT,REDUCE
2024-08-26,TITAN,REDUCE
2024-08-26,ULTRACEMCO,REDUCE
2024-08-29,BAJAJFINSV,REDUCE
2024-09-03,BAJAJFINSV,HOLD
2024-09-03,ULTRACEMCO,HOLD
2024-09-12,EICHERMOT,HOLD
2024-09-17,ULTRACEMCO,REDUCE
2024-09-19,HDFCBANK,HOLD
2024-09-23,BAJFINANCE,REDUCE
2024-09-24,BAJFINANCE,HOLD
2024-09-26,NESTLEIND,REDUCE
2024-09-26,TITAN,HOLD
2024-10-01,ADANIENT,REDUCE
2024-10-01,KOTAKBANK,REDUCE
2024-10-01,LT,REDUCE
2024-10-07,NESTLEIND,HOLD
2024-10-10,KOTAKBANK,HOLD
2024-10-21,AXISBANK,HOLD
2024-11-01,LT,HOLD
2024-11-25,ULTRACEMCO,HOLD
2025-01-21,ADANIENT,EXIT
2025-01-21,ADANIPORTS,EXIT
2025-01-21,ASIANPAINT,EXIT
2025-01-21,AXISBANK,EXIT
2025-01-21,BAJAJ-AUTO,EXIT
2025-01-21,BAJFINANCE,REDUCE
2025-01-21,BAJAJFINSV,REDUCE
2025-01-21,BEL,EXIT
2025-01-21,CIPLA,EXIT
2025-01-21,COALINDIA,EXIT
2025-01-21,GRASIM,EXIT
2025-01-21,HDFCBANK,EXIT
2025-01-21,HDFCLIFE,EXIT
2025-01-21,HINDALCO,EXIT
2025-01-21,HINDUNILVR,EXIT
2025-01-21,ICICIBANK,EXIT
2025-01-21,ITC,EXIT
2025-01-21,INDIGO,EXIT
2025-01-21,JSWSTEEL,EXIT
2025-01-21,KOTAKBANK,REDUCE
2025-01-21,LT,EXIT
2025-01-21,MARUTI,EXIT
2025-01-21,MAXHEALTH,EXIT
2025-01-21,NTPC,EXIT
2025-01-21,NESTLEIND,EXIT
2025-01-21,ONGC,EXIT
2025-01-21,POWERGRID,EXIT
2025-01-21,RELIANCE,EXIT
2025-01-21,SBILIFE,EXIT
2025-01-21,SHRIRAMFIN,EXIT
2025-01-21,SBIN,EXIT
2025-01-21,SUNPHARMA,REDUCE
2025-01-21,TCS,EXIT
2025-01-21,TATACONSUM,EXIT
2025-01-21,TATASTEEL,EXIT
2025-01-21,TECHM,REDUCE
2025-01-21,TITAN,EXIT
2025-01-21,TRENT,EXIT
2025-01-21,ULTRACEMCO,EXIT
2025-01-22,APOLLOHOSP,REDUCE
2025-01-22,KOTAKBANK,HOLD
2025-01-23,SUNPHARMA,HOLD
2025-01-23,ULTRACEMCO,REDUCE
2025-01-24,DRREDDY,EXIT
2025-01-24,TECHM,HOLD
2025-01-27,HCLTECH,REDUCE
2025-01-28,BAJFINANCE,HOLD
2025-01-28,MARUTI,REDUCE
2025-01-28,SUNPHARMA,EXIT
2025-01-29,MARUTI,EXIT
2025-01-29,ULTRACEMCO,HOLD
2025-01-30,JSWSTEEL,REDUCE
2025-01-31,BEL,REDUCE
2025-01-31,JSWSTEEL,HOLD
2025-01-31,MARUTI,REDUCE
2025-01-31,TITAN,REDUCE
2025-02-03,BEL,EXIT
2025-02-03,ITC,REDUCE
2025-02-03,INDIGO,REDUCE
2025-02-03,MAXHEALTH,REDUCE
2025-02-03,TECHM,REDUCE
2025-02-04,INDIGO,EXIT
2025-02-04,MAXHEALTH,HOLD
2025-02-04,SHRIRAMFIN,REDUCE
2025-02-05,ITC,EXIT
2025-02-05,INDIGO,REDUCE
2025-02-05,SHRIRAMFIN,EXIT
2025-02-06,TITAN,EXIT
2025-02-07,TITAN,REDUCE
2025-02-10,BAJAJFINSV,HOLD
2025-02-10,INDIGO,EXIT
2025-02-10,TITAN,EXIT
2025-02-11,APOLLOHOSP,EXIT
2025-02-11,MAXHEALTH,EXIT
2025-02-13,EICHERMOT,EXIT
2025-02-17,M&M,EXIT
2025-02-18,TECHM,HOLD
2025-02-19,INDIGO,REDUCE
2025-02-21,SHRIRAMFIN,REDUCE
2025-02-21,ULTRACEMCO,EXIT
2025-02-24,HCLTECH,EXIT
2025-02-24,INFY,EXIT
2025-02-24,SHRIRAMFIN,EXIT
2025-02-27,SHRIRAMFIN,REDUCE
2025-02-28,HDFCBANK,REDUCE
2025-02-28,MARUTI,EXIT
