,equity,benchmark
2021-11-11,1077060.2526055933,1270279.8948065164
2021-11-12,1079015.9982265988,1284119.3209190897
2021-11-15,1079098.7182889504,1285240.2878710104
2021-11-16,1078436.7869847629,1279701.2976444159
2021-11-17,1078204.6457070282,1273894.3410970583
2021-11-18,1076823.7104921215,1261332.524309552
2021-11-22,1073984.5097461198,1234473.9919326762
2021-11-23,1074665.6935960727,1245280.061832685
2021-11-24,1073896.1723775861,1240227.339116973
2021-11-25,1074334.1957973184,1248807.8959991236
2021-11-26,1072582.8238724722,1212260.0749581247
2021-11-29,1072269.275840735,1208076.9347486312
2021-11-30,1072723.5332861203,1207409.23254655
2021-12-01,1072620.9042321031,1218648.1215834594
2021-12-02,1073641.1637764496,1234247.319310487
2021-12-03,1072835.2679858373,1224549.8202033725
2021-12-06,1071120.2105346404,1204936.440304485
2021-12-07,1071738.665234406,1222752.9406063796
2021-12-08,1072585.6251767164,1242432.2455328146
2021-12-09,1072551.0298752107,1246829.6622054714
2021-12-10,1072727.5956695194,1249170.604392442
2021-12-13,1072458.0084237955,1241690.407860195
2021-12-14,1072476.8688054816,1239959.4532907496
2021-12-15,1072203.6734902947,1232528.6804055283
2021-12-16,1072432.8959081345,1231156.3290079054
2021-12-17,1072406.5370569783,1209453.4718622887
2021-12-20,1071851.069567772,1178753.8205726815
2021-12-21,1072104.801451461,1191999.7604482514
2021-12-22,1072220.3550500567,1206700.3976349737
2021-12-23,1072633.9569460964,1215907.4435151706
2021-12-24,1072293.1407745949,1208765.1630581904
2021-12-27,1072247.0320686244,1213941.5253860054
2021-12-28,1072564.8530625629,1225501.8291176597
2021-12-29,1072562.6366741213,1225135.0959973847
2021-12-30,1072617.5505961506,1223375.2438883916
2021-12-31,1072579.1859351508,1236081.3068900185
2022-01-03,1072659.6786847264,1253258.9220348406
2022-01-04,1072664.9458466154,1262667.848219175
2022-01-05,1072254.954220637,1269068.2910035357
2022-01-06,1072052.9679221704,1260306.299430187
2022-01-07,1072026.6402963132,1265124.1390807184
2022-01-10,1072300.8447138404,1277240.8210668375
2022-01-11,1072337.3281725263,1280125.7453492468
2022-01-12,1072501.700654201,1291447.060794225
2022-01-13,1072647.2672504284,1295827.9760863602
2022-01-14,1072892.1335046273,1296598.7112985274
2022-01-17,1072968.4894504198,1300790.0619510121
2022-01-18,1072827.4381489248,1283632.972913668
2022-01-19,1072423.465551992,1275340.9084597586
2022-01-20,1072097.352635164,1266158.5744030746
2022-01-21,1071811.4855816497,1251297.1896217102
2022-01-24,1071443.6251130926,1212659.8108394428
2022-01-25,1071333.4167321876,1222563.3759667294
2022-01-27,1071005.800081047,1209993.3487362317
2022-01-28,1071023.8536181464,1213583.0027087217
2022-01-31,1071023.8536181464,1229919.932886873
2022-02-01,1071023.8536181464,1245972.475858279
2022-02-02,1071023.8536181464,1260574.1852564109
2022-02-03,1071023.8536181464,1247596.292196143
2022-02-04,1071023.8536181464,1243437.8638101623
2022-02-07,1071023.8536181464,1225728.501739849
2022-02-08,1071023.8536181464,1224611.6400094242
2022-02-09,1071023.8536181464,1237742.1507158822
2022-02-10,1071023.8536181464,1245642.7702260036
2022-02-11,1071023.8536181464,1227434.7444857818
2022-02-14,1071023.8536181464,1186971.7495560525
2022-02-15,1071023.8536181464,1220366.679993879
2022-02-16,1071023.8536181464,1219076.7550043252
2022-02-17,1071023.8536181464,1217605.3953235731
2022-02-18,1071023.8536181464,1212548.5673863655
2022-02-21,1071023.8536181464,1203184.8791330222
2022-02-22,1071023.8536181464,1194278.8023346313
2022-02-23,1071023.8536181464,1195754.267236879
2022-02-24,1071023.8536181464,1135480.0368310811
2022-02-25,1071023.8536181464,1169414.92463739
2022-02-28,1071023.8536181464,1179351.4120311807
2022-03-02,1071023.8536181464,1170436.9638007202
2022-03-03,1071023.8536181464,1165174.0698433407
2022-03-04,1071023.8536181464,1145160.9540631347
2022-03-07,1071023.8536181464,1118050.9567460178
2022-03-08,1071023.8536181464,1129796.7198958271
2022-03-09,1071023.8536181464,1152286.6526450545
2022-03-10,1071023.8536181464,1169546.7746924846
2022-03-11,1071023.8536181464,1173515.6384388148
2022-03-14,1071023.8536181464,1184845.083832245
2022-03-15,1071023.8536181464,1171759.8915513172
2022-03-16,1071023.8536181464,1193681.2108761324
2022-03-17,1071023.8536181464,1213455.2578751228
2022-03-21,1071023.8536181464,1203617.6177753836
2022-03-22,1071023.8536181464,1213648.9277362688
2022-03-23,1071023.8536181464,1211266.852839803
2022-03-24,1071023.8536181464,1211612.9793580608
2022-03-25,1071023.8536181464,1207685.409310304
2022-03-28,1071023.8536181464,1209675.9587684432
2022-03-29,1071023.8536181464,1216768.8155783978
2022-03-30,1071023.8536181464,1227896.380667691
2022-03-31,1071023.8536181464,1227698.52509051
2022-04-01,1071023.8536181464,1243590.320467274
2022-04-04,1071023.8536181464,1268062.672726188
2022-04-05,1071023.8536181464,1268581.942998114
2022-04-06,1071023.8536181464,1263422.0820508203
2022-04-07,1071023.8536181464,1252982.8257656258
2022-04-08,1071023.8536181464,1264617.2649678185
2022-04-11,1071023.8536181464,1263224.2264736395
2022-04-12,1071023.8536181464,1249970.1566496175
